"","公司代號","Profit_this_year_3","Profit_last_year_4","Profit_last_year_3","股東配發s盈餘分配之現金股利元股","Profit_this_year_4_P","DivideRatio","DividendPredict","收盤價","InterestRatePercent"
"42","1301",5.37,7.78,7.42,5.8,5.63053908355795,0.745501285347044,4.19757412398922,"101.50",0.0413554100885637
"43","1303",2.39,6.65,6.1,5,2.60549180327869,0.75187969924812,1.95901639344262,"73.20",0.0267625190361014
"44","1304",0.93,0.5,0.6,0.3,0.775,0.6,0.465,"14.05",0.0330960854092527
"45","1305",0.77,2.52,2.3,1.5,0.843652173913044,0.595238095238095,0.502173913043478,"21.80",0.0230355005983247
"46","1307",0.86,0.76,0.59,0.5,1.10779661016949,0.657894736842105,0.728813559322034,"23.70",0.0307516269756132
"47","1308",0.99,0.52,0.48,0.3,1.0725,0.576923076923077,0.61875,"16.00",0.038671875
"48","1309",0.94,0.63,1.17,0.2,0.506153846153846,0.317460317460317,0.160683760683761,"11.60",0.013852048334807
"49","1310",1.61,2.3,2.2,2,1.68318181818182,0.869565217391304,1.46363636363636,"21.10",0.0693666523050409
"50","1312",1.95,3.26,3,0,2.119,0,0,"19.40",0
"51","1313",-0.05,0.59,0.68,0.2,-0.0433823529411765,0.338983050847458,-0.0147058823529412,"11.55",-0.00127323656735421
"52","1314",0.4,1.59,1.47,0.5,0.43265306122449,0.314465408805031,0.136054421768707,"9.70",0.0140262290483204
"53","1315",3.94,1.2,1.47,1.2,3.21632653061224,1,3.21632653061224,"47.70",0.0674282291532965
"54","1316",-0.81,1.39,2.24,1.14,-0.502633928571429,0.820143884892086,-0.412232142857143,"14.00",-0.0294451530612245
"55","1319",2.5,3.26,2.44,1.7,3.34016393442623,0.521472392638037,1.74180327868852,"46.50",0.0374581350255597
"56","1321",0.56,-0.33,0.09,0,-2.05333333333333,0,0,"39.10",0
"57","1323",2.36,3.32,2.45,1.8,3.19804081632653,0.542168674698795,1.73387755102041,"34.00",0.0509963985594238
"58","1324",-0.02,0.02,0.05,0.3,-0.008,15,-0.12,"9.68",-0.012396694214876
