公司代號名稱,資料來源,期別,董事會決議通過股利分派日,股東會日期,期初未分配盈餘/待彌補虧損(元),本期淨利(淨損)(元),可分配盈餘(元),分配後期末未分配盈餘(元),股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積、資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積、資本公積轉增資配股(元/股),股東配發-股東配股總股數(股),普通股每股面額
面額新台幣10元之公司,,,,,,,,,,,,,,,
公司代號名稱,資料來源,期別,董事會決議通過股利分派日,股東會日期,期初未分配盈餘/待彌補虧損(元),本期淨利(淨損)(元),可分配盈餘(元),分配後期末未分配盈餘(元),股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積、資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積、資本公積轉增資配股(元/股),股東配發-股東配股總股數(股),普通股每股面額
1307 - 三芳化工,董事會通過,1,107/03/07,107/06/12,"1,789,348,746","901,060,477","2,595,484,271","1,919,193,456",1.7,0,"676,290,815",0,0,0,新台幣                 10.0000元
1308 - 亞聚,董事會通過,1,107/03/12,107/06/05,"1,506,986,360","565,354,065","2,004,502,719","1,538,199,476",0.2,0,"103,622,943",0.7,0,"36,268,030",新台幣                 10.0000元
1309 - 台達化工,董事會通過,1,107/03/12,107/06/22,"-289,878,771","502,079,055","176,700,398","176,700,398",0,0,0,0,0,0,新台幣                 10.0000元
1310 - 台苯,董事會通過,1,107/03/13,107/06/26,"356,739,591","1,055,749,433","1,425,160,229","580,568,607",1.6,0,"844,591,622",0,0,0,新台幣                 10.0000元
1312 - 國喬石化,董事會通過,1,107/03/22,107/06/15,"4,429,639,727","3,288,642,225","7,403,515,929","6,464,895,601",1,0,"906,620,328",0,0,0,新台幣                 10.0000元
1312A - 國喬特,董事會通過,1,107/03/22,107/06/15,"4,429,639,727","3,288,642,225","7,403,515,929","6,464,895,601",1.6,0,"32,000,000",0,0,0,
1313 - 聯成,董事會通過,1,107/03/16,107/06/08,"1,329,572,158","2,342,412,580","3,432,989,827","1,309,787,113",1,0,"1,179,557,064",0.8,0,"94,364,565",新台幣                 10.0000元
1314 - 中石化,股東會確認,1,,107/04/11,0,"6,091,656,484",0,0,0,0,0,0,0,0,新台幣                 10.0000元
