公司代號名稱,資料來源,期別,董事會決議通過股利分派日,股東會日期,期初未分配盈餘/待彌補虧損(元),本期淨利(淨損)(元),可分配盈餘(元),分配後期末未分配盈餘(元),股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積、資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積、資本公積轉增資配股(元/股),股東配發-股東配股總股數(股),普通股每股面額
2028 - 威致鋼鐵,董事會通過,1,107/03/27,107/06/29,"-2,468,685,152","635,747,103","-1,834,259,262","-1,834,259,262",0,0,0,0,0,0,新台幣                 10.0000元
2029 - 盛餘,董事會通過,1,107/03/14,107/06/14,"1,949,602,934","743,605,103","2,665,435,243","2,103,370,243",1.75,0,"562,065,000",0,0,0,新台幣                 10.0000元
2030 - 彰源,董事會通過,1,107/03/08,107/06/12,0,"538,109,746","434,132,729","158,974,702",1.01194885,0,"275,158,027",0,0,0,新台幣                 10.0000元
2031 - 新光鋼,董事會通過,1,107/03/13,107/06/19,"575,430,215","1,066,226,100","1,551,484,351","1,092,193,742",1.5,0.5,"612,387,479",0,0,0,新台幣                 10.0000元
2032 - 新鋼工業,董事會通過,1,107/03/15,107/06/11,"59,337,639","15,264,012","72,581,899","59,529,744",0.1,0,"13,052,155",0,0,0,新台幣                 10.0000元
2033 - 佳大世界,董事會通過,1,107/03/12,107/06/20,"7,169,206","23,786,042","26,935,285","10,796,378",0.2,0,"16,138,907",0,0,0,新台幣                 10.0000元
2034 - 允強,董事會通過,1,107/03/16,107/06/15,"122,009,633","816,187,644","853,051,278","120,215,940",1.8,0,"732,835,338",0,0,0,新台幣                 10.0000元
2038 - 海光企業,董事會通過,1,107/03/15,107/06/28,"179,996,748","10,754,862","183,377,051","183,377,051",0,0,0,0,0,0,新台幣                 10.0000元
2049 - 上銀科技,董事會通過,1,107/03/22,107/06/27,"8,537,257,062","2,738,018,814","11,016,067,440","9,951,469,674",3.5,0,"980,550,576",0.3,0,"8,404,719",新台幣                 10.0000元
2062 - 橋椿,董事會通過,1,107/02/23,107/05/08,"1,607,181,983","217,560,235","1,689,750,193","1,640,845,947",0.3,0,"48,904,246",0,0,0,新台幣                 10.0000元
面額新台幣10元之公司,,,,,,,,,,,,,,,
公司代號名稱,資料來源,期別,董事會決議通過股利分派日,股東會日期,期初未分配盈餘/待彌補虧損(元),本期淨利(淨損)(元),可分配盈餘(元),分配後期末未分配盈餘(元),股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積、資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積、資本公積轉增資配股(元/股),股東配發-股東配股總股數(股),普通股每股面額
2069 - 運錩,董事會通過,1,107/03/20,107/06/22,"21,238,880","209,455,875","193,127,107",0,1.2,0.35,"219,655,776",0,0,0,新台幣                 10.0000元
2101 - 南港輪胎,董事會通過,1,107/03/14,107/05/04,"9,849,986","633,267,238","570,521,766","3,446,031",0.68,0,"567,075,735",0,0,0,新台幣                 10.0000元
2102 - 泰豐輪胎,董事會通過,1,107/03/22,107/06/15,"2,532,563,074","-698,125,656","1,847,628,278","1,847,628,278",0,0,0,0,0,0,新台幣                 10.0000元
2103 - 台橡,董事會通過,1,107/03/15,107/06/21,"784,790,761","874,106,500","1,573,913,282","781,231,704",0.96,0,"792,681,578",0,0,0,新台幣                 10.0000元
2105 - 正新,董事會通過,1,107/03/20,107/06/14,"31,021,503,489","5,541,784,938","34,903,614,898","29,069,066,933",1.8,0,"5,834,547,965",0,0,0,新台幣                 10.0000元
2106 - 建大,董事會通過,1,107/03/22,107/06/11,"7,518,341,191","328,967,601","7,409,320,412","6,360,004,412",1.2,0,"1,049,316,000",0,0,0,新台幣                 10.0000元
2107 - 厚生,董事會通過,1,107/03/16,107/06/08,"4,389,586,529","189,239,692","4,687,738,825","4,447,238,825",0.65,0,"240,500,000",0,0,0,新台幣                 10.0000元
2108 - 南帝化工,董事會通過,1,107/03/15,107/06/12,"170,492,129","813,949,889","907,150,900","203,698,524",1,0,"468,968,246",0.5,0,"23,448,413",新台幣                 10.0000元
2109 - 華豐橡膠,董事會通過,1,107/03/27,107/06/27,"185,406,144","-976,303,211","-776,810,864","-776,810,864",0,0,0,0,0,0,新台幣                 10.0000元
2114 - 鑫永銓,董事會通過,1,107/03/27,107/06/26,"594,135,108","338,923,403","898,712,682","561,086,242",5,0,"337,626,440",0,0,0,新台幣                 10.0000元
2115 - 六暉-KY,董事會通過,1,107/03/14,107/06/25,"550,262,834","274,152,531","794,306,684","671,359,233",1.5,0,"122,947,451",0,0,0,新台幣                 10.0000元
2201 - 裕隆汽車,董事會通過,1,107/03/26,107/06/15,"404,842,876","2,288,306,240","1,464,318,492","552,024,945",0.58,0,"912,293,547",0,0,0,新台幣                 10.0000元
2204 - 中華汽車,董事會通過,1,107/03/26,107/06/27,"16,866,203,723","4,105,643,000","20,484,572,203","17,993,280,666",1.8,0,"2,491,291,537",0,0,0,新台幣                 10.0000元
2206 - 三陽工業,董事會通過,1,107/03/27,107/06/21,"980,670,558","509,134,852","1,055,057,673","213,878,069",1,0,"841,179,604",0,0,0,新台幣                 10.0000元
2207 - 和泰汽車,董事會通過,1,107/03/27,107/06/21,"20,446,202,651","10,115,606,515","29,506,221,464","22,952,071,256",12,0,"6,554,150,208",0,0,0,新台幣                 10.0000元
面額新台幣10元之公司,,,,,,,,,,,,,,,
公司代號名稱,資料來源,期別,董事會決議通過股利分派日,股東會日期,期初未分配盈餘/待彌補虧損(元),本期淨利(淨損)(元),可分配盈餘(元),分配後期末未分配盈餘(元),股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積、資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積、資本公積轉增資配股(元/股),股東配發-股東配股總股數(股),普通股每股面額
2228 - 劍麟,董事會通過,1,107/03/16,107/06/13,"1,294,587,051","550,160,204","1,686,449,910","1,289,361,238",5.24,0,"397,088,672",0,0,0,新台幣                 10.0000元
2231 - 為升,董事會通過,1,107/03/01,107/06/08,"300,776,878","1,011,821,705","1,194,864,203","304,444,053",7.5,0,"758,880,810",1.3,0,"13,153,934",新台幣                 10.0000元
2236 - 百達-KY,董事會通過,1,107/03/26,107/06/28,"337,245,474","130,246,605","408,965,203","351,621,406",0.75,0,"28,671,897",0.75,0,"2,867,190",新台幣                 10.0000元
2243 - 宏旭-KY,董事會通過,1,107/03/26,107/06/29,"106,759,668","43,502,233","87,023,886","66,223,886",0.5,0,"20,800,000",0,0,0,新台幣                 10.0000元
2301 - 光寶科技,董事會通過,1,107/02/27,107/06/22,"7,505,763,588","2,629,334,280","8,463,744,074","7,499,888,591",0.41,2.51,"6,864,531,733",0,0,0,新台幣                 10.0000元
2302 - 麗正,董事會通過,1,107/03/27,107/06/28,0,"-33,989,131","-33,989,131","-33,989,131",0,0,0,0,0,0,新台幣                 10.0000元
2303 - 聯電,董事會通過,1,107/03/07,107/06/12,"31,640,609,414","9,628,734,117","37,200,619,488","28,643,596,387",0.7,0,"8,557,023,101",0,0,0,新台幣                 10.0000元
2305 - 全友電腦,董事會通過,1,107/03/20,107/05/23,"-622,170,748","515,452,895","-108,850,078","-108,850,078",0,0,0,0,0,0,新台幣                 10.0000元
2308 - 台達電,董事會通過,1,107/03/08,107/06/11,"14,807,881,689","18,380,551,928","26,923,776,124","13,936,059,479",5,0,"12,987,716,645",0,0,0,新台幣                 10.0000元
2312 - 金寶電子,董事會通過,1,107/03/20,107/06/11,"1,384,680,110","382,629,176","1,703,219,485","1,267,595,121",0.3,0,"435,624,364",0,0,0,新台幣                 10.0000元
2313 - 華通,董事會通過,1,107/03/08,107/06/14,"4,629,427,076","3,577,043,659","7,810,861,099","6,380,676,392",1.2,0,"1,430,184,707",0,0,0,新台幣                 10.0000元
2314 - 台揚科技,董事會通過,1,107/03/22,107/06/21,"1,697,957","160,594,758","65,438,652","19,832,988",0.2,0,"45,605,664",0,0,0,新台幣                 10.0000元
2316 - 楠梓電,董事會通過,1,107/03/22,107/06/14,"2,721,714,750","-8,350,530","2,494,366,414","2,494,366,414",0,0,0,0,0,0,新台幣                 10.0000元
2321 - 東訊,董事會通過,1,107/03/23,107/06/12,"-5,825,506,604","-61,285,967","-5,885,767,488","-5,885,767,488",0,0,0,0,0,0,新台幣                 10.0000元
2323 - 中環,董事會通過,1,107/03/23,107/06/12,"-5,199,745,823","-1,128,343,549","-6,293,519,214","-6,293,519,214",0,0,0,0,0,0,新台幣                 10.0000元
面額新台幣10元之公司,,,,,,,,,,,,,,,
公司代號名稱,資料來源,期別,董事會決議通過股利分派日,股東會日期,期初未分配盈餘/待彌補虧損(元),本期淨利(淨損)(元),可分配盈餘(元),分配後期末未分配盈餘(元),股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積、資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積、資本公積轉增資配股(元/股),股東配發-股東配股總股數(股),普通股每股面額
2327 - 國巨,董事會通過,1,107/02/22,107/06/05,"14,696,628,209","6,847,299,863","20,697,483,271","14,959,926,861",14.36,0.64,"5,260,595,734",2,0,"70,141,276",新台幣                 10.0000元
2328 - 廣宇,董事會通過,1,107/03/19,107/06/08,"2,427,069,264","690,997,971","2,981,673,367","2,566,996,341",0.8,0,"414,677,026",0,0,0,新台幣                 10.0000元
2329 - 華泰電子,董事會通過,1,107/03/28,107/06/29,"-1,796,040,039","-713,577,446","-2,536,872,497","-2,536,872,497",0,0,0,0,0,0,新台幣                 10.0000元
2330 - 台積電,董事會通過,1,107/02/13,107/06/05,"648,772,842,956","343,111,475,749","930,420,671,470","722,977,627,806",8,0,"207,443,043,664",0,0,0,新台幣                 10.0000元
2331 - 精英,董事會通過,1,107/03/26,107/06/25,0,"221,761,351",0,0,0,0,0,0,0,0,新台幣                 10.0000元
2332 - 友訊科技,董事會通過,1,107/03/19,107/06/22,0,"-193,451,379","-203,814,488","-203,814,488",0,0,0,0,0,0,新台幣                 10.0000元
2337 - 旺宏,董事會通過,1,107/03/16,107/06/14,"-18,651,070,271","5,517,847,463","4,797,967,008","2,632,236,045",1,0,"1,804,775,803",0.2,0,"36,095,516",新台幣                 10.0000元
2338 - 光罩,董事會通過,1,107/03/23,107/06/13,0,"-74,176,999","-74,217,310",0,0,0,0,0,0,0,新台幣                 10.0000元
2340 - 光磊,董事會通過,1,107/03/28,107/06/20,"597,431,565","672,282,617","1,261,713,513","660,371,346",1.35,0,"601,342,167",0,0,0,新台幣                 10.0000元
2342 - 茂矽,董事會通過,1,107/03/21,107/06/14,-3,"-24,305,553","-28,933,556","-28,933,556",0,0,0,0,0,0,新台幣                 10.0000元
2344 - 華邦電,董事會通過,1,107/03/23,107/06/11,"1,878,756,044","5,550,562,625","6,832,265,915","2,852,265,722",1,0,"3,980,000,193",0,0,0,新台幣                 10.0000元
2345 - 智邦科技,董事會通過,1,107/03/21,107/06/13,0,"2,559,306,564","2,299,657,081",0,4.1354,0,"2,299,657,081",0,0,0,新台幣                 10.0000元
2347 - 聯強國際,董事會通過,1,107/03/13,107/06/12,"3,125,644,502","6,114,895,634","6,612,448,149","2,942,964,819",2.2,0,"3,669,483,330",0,0,0,新台幣                 10.0000元
2348 - 海悅,董事會通過,1,107/03/23,107/06/21,"214,709,801","182,675,471","379,117,724","70,957,724",3.6,0,"308,160,000",0,0,0,新台幣                 10.0000元
2349 - 錸德科技,董事會通過,1,107/03/23,107/06/12,"-2,240,938,369","-2,430,454,904","-4,826,342,395",0,0,0,0,0,0,0,新台幣                 10.0000元
面額新台幣10元之公司,,,,,,,,,,,,,,,
公司代號名稱,資料來源,期別,董事會決議通過股利分派日,股東會日期,期初未分配盈餘/待彌補虧損(元),本期淨利(淨損)(元),可分配盈餘(元),分配後期末未分配盈餘(元),股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積、資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積、資本公積轉增資配股(元/股),股東配發-股東配股總股數(股),普通股每股面額
2351 - 順德,董事會通過,1,107/03/02,107/06/22,"1,679,646,519","715,993,592","2,307,759,747","1,852,409,124",2.5,0,"455,350,623",0,0,0,新台幣                 10.0000元
2352 - 佳世達,董事會通過,1,107/03/16,107/06/21,"3,316,216,525","5,291,387,048","7,694,485,616","5,039,329,973",1.35,0,"2,655,155,643",0,0,0,新台幣                 10.0000元
2353 - 宏碁,董事會通過,1,107/03/21,107/06/15,0,"2,815,586,887",0,0,0,0.7,"2,153,551,980",0,0,0,新台幣                 10.0000元
2355 - 敬鵬,董事會通過,1,107/03/28,107/06/29,"7,079,183,506","1,500,803,836","8,308,811,667","7,414,446,972",2.25,0,"894,364,695",0,0,0,新台幣                 10.0000元
2356 - 英業達,董事會通過,1,107/03/26,107/06/14,"810,346,187","6,754,912,011","6,745,370,357","826,036,498",1.65,0,"5,919,333,859",0,0,0,新台幣                 10.0000元
2357 - 華碩,董事會通過,1,107/03/16,107/06/12,"87,245,954,685","15,544,905,147","101,236,369,317","90,094,965,117",15,0,"11,141,404,200",0,0,0,新台幣                 10.0000元
2358 - 廷鑫,董事會通過,1,107/03/23,107/06/29,"-154,098,261","34,499,475","-119,598,786","-119,598,786",0,0,0,0,0,0,新台幣                 10.0000元
2359 - 所羅門,董事會通過,1,107/03/20,107/06/05,"2,128,706,803","58,926,513","2,117,316,689","1,945,845,637",1,0,"171,471,052",0,0,0,新台幣                 10.0000元
2360 - 致茂電子,董事會通過,1,107/02/22,107/06/08,"1,437,389,982","2,558,401,816","3,732,997,036","1,878,572,974",4.5,0,"1,854,424,062",0,0,0,新台幣                 10.0000元
2362 - 藍天,董事會通過,1,107/03/27,107/06/15,"366,265,730","717,783,718",0,0,0,0.8,"546,530,400",0,0,0,新台幣                 10.0000元
2363 - 矽統科技,董事會通過,1,107/03/16,107/06/08,"-196,105,980","-277,551,986","-482,989,272",0,0,0,0,0,0,0,新台幣                 10.0000元
2364 - 倫飛電腦,董事會通過,1,107/03/19,107/06/11,"-577,608,460","-191,675,771","-1,406,234,231","-1,406,234,231",0,0,0,0,0,0,新台幣                 10.0000元
2365 - 昆盈企業,董事會通過,1,107/03/22,107/06/19,0,"48,429,488","5,324,752","24,752",0.02259757,0.27927185,"70,800,000",0,0,0,新台幣                 10.0000元
2367 - 燿華,董事會通過,1,107/04/30,107/06/12,0,"674,107,683","606,696,915","303,065,944",0.3,0,"182,178,581",0.2,0,"12,145,239",新台幣                 10.0000元
2368 - 金像電,董事會通過,1,107/03/23,107/06/11,"-896,168,204","-269,102,498","-1,187,193,049","-1,187,193,049",0,0,0,0,0,0,新台幣                 10.0000元
面額新台幣10元之公司,,,,,,,,,,,,,,,
公司代號名稱,資料來源,期別,董事會決議通過股利分派日,股東會日期,期初未分配盈餘/待彌補虧損(元),本期淨利(淨損)(元),可分配盈餘(元),分配後期末未分配盈餘(元),股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積、資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積、資本公積轉增資配股(元/股),股東配發-股東配股總股數(股),普通股每股面額
2369 - 菱生,董事會通過,1,107/03/15,107/06/15,"378,404,747","130,983,798","494,140,725","304,089,553",0.5,0,"190,051,172",0,0,0,新台幣                 10.0000元
2371 - 大同,董事會通過,1,107/03/15,107/06/27,0,"74,069,702",0,0,0,0,0,0,0,0,新台幣                 10.0000元
2373 - 震旦行,董事會通過,1,107/03/06,107/06/12,"1,207,121","1,810,865,759","1,610,121,974","192,906,866",6,0,"1,417,215,108",0,0,0,新台幣                 10.0000元
2374 - 佳能,董事會通過,1,107/03/16,107/06/11,"2,021,890,309","217,662,863","2,322,724,842","2,096,832,864",0.8,0,"225,891,978",0,0,0,新台幣                 10.0000元
2375 - 智寶,董事會通過,1,107/04/20,107/06/05,"702,495,578","230,586,135","762,917,902","586,199,118",1.930967,1.069033,3,0,0,0,新台幣                 10.0000元
2376 - 技嘉,董事會通過,1,107/04/17,107/06/11,"6,812,267,801","2,786,411,469","9,289,336,292","6,746,580,748",4,0,"2,542,755,544",0,0,0,新台幣                 10.0000元
2377 - 微星科技,董事會通過,1,107/05/03,107/06/15,"9,370,422,633","4,937,422,544","13,750,629,564","9,948,776,669",4.5,0,"3,801,852,895",0,0,0,新台幣                 10.0000元
2379 - 瑞昱,董事會通過,1,107/04/25,107/06/05,"6,306,005,691","3,392,153,715","8,758,501,040","6,472,071,452",4.5,1,"2,794,525,052",0,0,0,新台幣                 10.0000元
2380 - 虹光精密,董事會通過,1,107/03/23,107/06/15,"-751,461,121","-637,027,898","-1,397,955,426",0,0,0,0,0,0,0,新台幣                 10.0000元
2382 - 廣達,董事會通過,1,107/03/26,107/06/15,"36,724,589,451","14,367,091,478","48,357,132,891","35,224,199,622",3.4,0,"13,132,933,269",0,0,0,新台幣                 10.0000元
2383 - 台光電子,董事會通過,1,107/03/20,107/06/14,"4,112,317,214","2,790,957,134","6,515,641,502","4,981,309,704",4.8,0,"1,534,331,798",0,0,0,新台幣                 10.0000元
2385 - 群光電子,董事會通過,1,107/03/09,107/06/05,"5,142,705,155","4,021,529,058","7,314,275,050","4,056,392,027",4.45,0,"3,221,684,313",0.05,0,"3,619,871",新台幣                 10.0000元
2387 - 精元電腦,董事會通過,1,107/03/21,107/06/12,"3,865,261,572","212,809,306","3,868,865,061","3,780,426,449",0.4,0,"88,438,612",0,0,0,新台幣                 10.0000元
2388 - 威盛電子,董事會通過,1,107/03/23,107/06/26,"-1,216,894","50,033","-1,207,275","-1,207,275",0,0,0,0,0,0,新台幣                 10.0000元
2390 - 云辰,董事會通過,1,107/03/21,107/06/15,"48,434,214","-138,763,048","-82,983,757","-82,983,757",0,0,0,0,0,0,新台幣                 10.0000元
面額新台幣10元之公司,,,,,,,,,,,,,,,
公司代號名稱,資料來源,期別,董事會決議通過股利分派日,股東會日期,期初未分配盈餘/待彌補虧損(元),本期淨利(淨損)(元),可分配盈餘(元),分配後期末未分配盈餘(元),股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積、資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積、資本公積轉增資配股(元/股),股東配發-股東配股總股數(股),普通股每股面額
2392 - 正崴,董事會通過,1,107/03/29,107/06/08,"5,026,558,929","1,334,587,752","5,362,125,779","4,337,471,899",2,0,"1,024,653,880",0,0,0,新台幣                 10.0000元
2393 - 億光電子,董事會通過,1,107/03/23,107/06/15,"119,883,913","1,203,508,492","1,794,293,916","473,160,558",3,0,"1,321,133,358",0,0,0,新台幣                 10.0000元
2395 - 研華,董事會通過,1,107/03/02,107/05/24,"3,162,453,946","6,156,516,726","8,397,794,182","3,797,379,616",6.6,0,"4,600,414,566",0,0,0,新台幣                 10.0000元
2397 - 友通資訊,董事會通過,1,107/03/05,107/06/13,"252,199,304","418,331,563","612,252,822","130,559,623",4.2,0,"481,693,199",0,0,0,新台幣                 10.0000元
2399 - 映泰,董事會通過,1,107/03/27,107/06/21,"204,549,667","100,415,008","289,095,984","146,615,984",0.8,0,"142,480,000",0,0,0,新台幣                 10.0000元
2401 - 凌陽科技,董事會通過,1,107/03/14,107/06/11,"15,370","421,458,423","327,603,956","53,167",0.5533,0.1467,"414,396,444",0,0,0,新台幣                 10.0000元
2402 - 毅嘉科技,董事會通過,1,107/03/20,107/06/15,"595,935,324","-298,473,349","296,523,976","296,523,976",0,0,0,0,0,0,新台幣                 10.0000元
2404 - 漢唐,董事會通過,1,107/03/23,107/06/12,"803,064,595","1,214,548,208","1,891,864,692","700,697,827",5,0,"1,191,166,865",0,0,0,新台幣                 10.0000元
2405 - 浩鑫,董事會通過,1,107/03/28,107/06/21,0,"-150,454,171",0,0,0,0,0,0,0,0,新台幣                 10.0000元
2406 - 國碩科技,董事會通過,1,107/03/29,107/06/20,"16,801,578","-2,638,682,811","-2,621,881,233",0,0,0,0,0,0,0,新台幣                 10.0000元
2408 - 南亞科,董事會通過,1,107/02/26,107/05/24,"29,805,680,015","40,281,927,580","65,667,084,024","54,787,796,362",3.6229488,0,"10,879,287,662",0,0,0,新台幣                 10.0000元
2409 - 友達,董事會通過,1,107/03/23,107/06/15,"15,413,889,179","32,359,417,148","44,439,900,926","30,003,533,253",1.5,0,"14,436,367,673",0,0,0,新台幣                 10.0000元
2412 - 中華電,董事會通過,1,107/03/13,107/06/15,"388,779","38,873,905,099","37,208,087,178","3,373,548",4.796,0,"37,204,713,630",0,0,0,新台幣                 10.0000元
2413 - 環科,董事會通過,1,107/03/20,107/06/19,"112,566,401","-125,219,212",0,0,0,0,0,0,0,0,新台幣                 10.0000元
2414 - 精技電腦,董事會通過,1,107/03/30,107/06/21,"29,379,424","257,757,600","249,851,592","23,421,408",1.4,0,"226,430,184",0,0,0,新台幣                 10.0000元
面額新台幣10元之公司,,,,,,,,,,,,,,,
公司代號名稱,資料來源,期別,董事會決議通過股利分派日,股東會日期,期初未分配盈餘/待彌補虧損(元),本期淨利(淨損)(元),可分配盈餘(元),分配後期末未分配盈餘(元),股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積、資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積、資本公積轉增資配股(元/股),股東配發-股東配股總股數(股),普通股每股面額
2415 - 錩新,董事會通過,1,107/03/19,107/06/05,"190,834,790","141,105,634","255,206,839","175,206,839",1,0,"80,000,000",0,0,0,新台幣                 10.0000元
2417 - 圓剛,董事會通過,1,107/03/15,107/06/14,0,"-57,824,277","-57,824,277",0,0,0.1,"19,289,233",0,0,0,新台幣                 10.0000元
2419 - 仲琦,董事會通過,1,107/03/22,107/06/14,"7,884,792","327,335,836","288,181,953",0,1.2,0.06,"303,791,464",0,0,0,新台幣                 10.0000元
2420 - 新巨,董事會通過,1,107/03/09,107/05/29,"253,800,178","460,633,747","644,187,502","232,036,044",2.7,0,"412,151,458",0,0,0,新台幣                 10.0000元
2421 - 建準電機,董事會通過,1,107/03/12,107/05/30,"92,482,688","657,458,594","636,322,105","59,183,721",2.3,0,"577,138,384",0,0,0,新台幣                 10.0000元
2423 - 固緯,董事會通過,1,107/03/19,107/06/11,"206,877,176","284,052,694","402,503,640","184,932,706",1.5,0,"217,570,934",0,0,0,新台幣                 10.0000元
2424 - 隴華電子,董事會通過,1,107/03/15,107/06/07,"119,052,257","-49,152,292","69,899,965","69,899,965",0,0,0,0,0,0,新台幣                 10.0000元
2425 - 承啟,董事會通過,1,107/05/03,107/06/15,"535,365,029","-56,913,437","474,101,400","474,101,400",0,0,0,0,0,0,新台幣                 10.0000元
2426 - 鼎元,董事會通過,1,107/03/26,107/06/14,"2,003,522","196,542,237","176,200,055","1,840,000",0.57999717,0.11999999,"210,434,725",0,0,0,新台幣                 10.0000元
2427 - 三商電腦,董事會通過,1,107/03/22,107/06/12,"10,799,566","71,536,226","71,486,836","25,408,220",0.25,0,"46,078,616",0,0,0,新台幣                 10.0000元
2428 - 興勤電子,董事會通過,1,107/03/26,107/06/22,"2,138,201,278","1,084,535,435","3,076,367,662","2,563,916,758",4,0,"512,450,904",0,0,0,新台幣                 10.0000元
2429 - 銘旺科,董事會通過,1,107/03/29,107/06/29,"-16,644,931","-81,182,929","-97,890,617","-97,890,617",0,0,0,0,0,0,新台幣                 10.0000元
2430 - 燦坤實業,股東會確認,1,,107/04/20,"773,183,595","272,286,810","1,000,412,484","774,137,277",1.36,0,"226,275,207",0,0,0,新台幣                 10.0000元
2430 - 燦坤實業,董事會通過,1,107/03/09,107/04/20,"773,183,595","272,286,810","1,000,412,484","774,137,277",1.36,0,"226,275,207",0,0,0,新台幣                 10.0000元
2431 - 聯昌電子,董事會通過,1,107/03/20,107/06/12,"844,594","-38,261,502","-39,125,182","-39,125,182",0,0,0,0,0,0,新台幣                 10.0000元
面額新台幣10元之公司,,,,,,,,,,,,,,,
公司代號名稱,資料來源,期別,董事會決議通過股利分派日,股東會日期,期初未分配盈餘/待彌補虧損(元),本期淨利(淨損)(元),可分配盈餘(元),分配後期末未分配盈餘(元),股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積、資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積、資本公積轉增資配股(元/股),股東配發-股東配股總股數(股),普通股每股面額
2433 - 互盛電,董事會通過,1,107/03/05,107/06/08,"84,919,392","556,065,218","576,532,514","70,796,475",3.5,0,"505,736,039",0,0,0,新台幣                 10.0000元
2434 - 統懋,董事會通過,1,107/03/29,107/06/28,"-400,754,384","-129,445,482","-138,797,341","-1,387,797,341",0,0,0,0,0,0,新台幣                 10.0000元
2436 - 偉詮電,董事會通過,1,107/03/14,107/06/12,"150,539,399","225,211,133","399,695,683","266,151,883",0.6,0,"133,543,800",0,0,0,新台幣                 10.0000元
2438 - 翔耀實業,董事會通過,1,107/03/28,107/06/26,"-256,129,950","-76,813,179","-332,943,129","-332,943,129",0,0,0,0,0,0,新台幣                 10.0000元
2439 - 美律,董事會通過,1,107/02/26,107/06/13,"675,882,132","3,622,205,448","3,929,797,319","785,959,464",16.442,0,"3,143,837,855",0,0,0,新台幣                 10.0000元
2440 - 太空梭,董事會通過,1,107/03/29,107/06/29,"-341,041,498","117,322,980","-224,655,469",0,0,0,0,0,0,0,新台幣                 10.0000元
2441 - 超豐電子,董事會通過,1,107/03/12,107/05/29,"4,762,497,568","2,508,628,881","6,999,046,141","5,292,508,378",3,0,"1,706,537,763",0,0,0,新台幣                 10.0000元
2442 - 新美齊,董事會通過,1,107/02/27,107/05/29,"132,862,525","-103,733,584","-64,722,795","-64,722,795",0,0,0,0,0,0,新台幣                 10.0000元
2443 - 新利虹,董事會通過,1,107/03/20,107/06/11,"-27,568,445","-270,775,589","-298,344,034","-298,344,034",0,0,0,0,0,0,新台幣                 10.0000元
2444 - 友旺科技,董事會通過,1,107/03/05,107/05/21,"1,611,578","13,204,184","4,553,960","331,657",0.04,0.06,"10,555,757",0,0,0,新台幣                 10.0000元
2448 - 晶電,董事會通過,1,107/05/03,107/06/21,0,"1,649,912,528","749,196,302",0,0.6881559,0.1118441,"870,961,131",0,0,0,新台幣                 10.0000元
2449 - 京元電子,董事會通過,1,107/03/16,107/06/08,"3,259,872,017","2,233,646,485","5,135,400,448","3,425,611,695",1.4,0.4,"2,198,299,825",0,0,0,新台幣                 10.0000元
2450 - 神腦,董事會通過,1,107/02/23,107/06/14,"793,259,093","825,521,265","1,526,954,711","709,272,076",3.25,0,"817,682,635",0,0,0,新台幣                 10.0000元
2451 - 創見資訊,董事會通過,1,107/03/08,107/06/14,"4,706,153,350","2,655,716,602","7,196,510,957","4,698,093,242",5.8,0.2,"2,584,570,050",0,0,0,新台幣                 10.0000元
2453 - 凌群,董事會通過,1,107/03/26,107/06/12,"415,254,136","91,027,872","489,786,884","419,786,884",0.7,0,"70,000,000",0,0,0,新台幣                 10.0000元
面額新台幣10元之公司,,,,,,,,,,,,,,,
